i,TIME,SLT-RG(M),AZIMUTH,ELEVATION,HOR-RG(M),NORTH-SOUTH,EAST-WEST,V.-AZ,ALT.(M),LATITUDE,LONGITUDE,TVEL(M).,E/W-VEL.,N/S-VEL.,ALT-VEL(M),FLT-EL,FLT-AZ,LK-RG(M),LOOK-AZ,LOOK-EL
1.43452E+11,0.45,56600,-165.6404,-0.1455,31,0,0,0,1332.4,32.417747,-106.320274,194.9,-12.9,151.8,121.5,38.5763,355.1528,126,-134.4678,75.9756
1.43452E+11,0.5,56593,-165.6378,-0.1396,26,0,0,0,1338.3,32.417816,-106.320274,178.5,-10.8,138.2,112.5,39.075,355.5279,131,-122.3011,78.3191
1.43452E+11,0.55,56587,-165.6355,-0.1341,24,0,0,0,1343.7,32.417877,-106.320282,161.9,-8.7,124.2,103.4,39.7117,355.9754,136,-108.3731,79.766
1.43452E+11,0.6,56581,-165.6335,-0.129,23,0,0,0,1348.6,32.417927,-106.320282,145.2,-6.7,110.2,94.3,40.5198,356.5317,141,-94.3013,80.4366
1.43452E+11,0.65,56576,-165.6317,-0.1244,24,0,0,0,1353.1,32.417976,-106.320312,128.5,-4.6,96.1,85.2,41.5452,357.2527,145,-81.8048,80.5528
1.43452E+11,0.7,56572,-165.6302,-0.1203,25,0,0,0,1357.2,32.418015,-106.320312,111.9,-2.5,82,76.1,42.8693,358.2254,149,-71.7188,80.3531
1.43452E+11,0.75,56569,-165.6291,-0.1167,26,0,0,0,1360.8,32.418045,-106.320312,95.4,-0.5,67.9,67,44.6381,359.6113,153,-64.0541,80.03
1.43452E+11,0.8,56566,-165.6283,-0.1135,28,0,0,0,1363.9,32.418072,-106.320312,79,1.6,53.7,57.9,47.1052,1.7461,156,-58.4086,79.7083
1.43452E+11,0.85,56564,-165.6278,-0.1108,29,0,0,0,1366.5,32.418095,-106.320312,63.2,3.8,39.9,48.9,50.6815,5.3963,159,-54.3464,79.4617
1.43452E+11,0.9,56562,-165.6275,-0.1085,30,0,0,0,1368.8,32.418106,-106.320312,48.3,5.9,26.4,40,55.9685,12.6236,162,-51.5009,79.324
1.43452E+11,0.95,56561,-165.6276,-0.1067,30,0,0,0,1370.5,32.418125,-106.320312,35.6,8.1,13.9,31.8,63.104,30.1189,163,-49.6106,79.3141
1.43452E+11,1,56560,-165.6279,-0.1053,30,0,0,0,1372,32.418125,-106.320282,27.2,10.4,3.4,24.9,66.3362,71.6092,165,-48.4377,79.4302
1.43452E+11,1.05,56560,-165.6285,-0.1041,30,0,0,0,1373.1,32.418125,-106.320282,24.2,12.7,-4,20.3,56.6696,107.5832,166,-47.7465,79.6537
1.43452E+11,1.1,56560,-165.6292,-0.1032,29,0,0,0,1374,32.418125,-106.320274,25.3,15.2,-7.8,18.7,47.6582,117.1152,167,-47.2751,79.9569
1.43452E+11,1.15,56561,-165.6301,-0.1022,28,0,0,0,1375,32.418114,-106.320274,28.2,17.6,-7.9,20.6,46.8655,114.2963,167,-46.7472,80.3094
1.43452E+11,1.2,56561,-165.6312,-0.101,27,0,0,0,1376.2,32.418114,-106.320274,33.5,19.9,-5.5,26.5,52.0511,105.506,168,-45.9411,80.6843
